Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
15.01.2025,"36.000,00","36.000,00","36.000,00","36.000,00","0,00",5,180.000,180.000
16.12.2024,"36.000,00","36.000,00","36.000,00","36.000,00","2,53",77,2.772.000,2.772.000
13.12.2024,"35.110,00","35.110,00","35.110,00","35.110,00","0,31",2,70.220,70.220
12.12.2024,"35.001,00","35.001,00","35.001,00","35.001,00","0,00",4,140.004,140.004
06.12.2024,"35.000,00","35.000,00","35.000,00","35.000,00","-0,03",4,140.000,140.000
04.12.2024,"35.010,00","35.010,00","35.010,00","35.010,00","-7,87",8,280.080,280.080
27.11.2024,"38.000,00","38.000,00","38.000,00","38.000,00","5,56",4,152.000,152.000
21.11.2024,"36.000,00","36.000,00","36.000,00","36.000,00","2,86",65,2.340.000,2.340.000
10.10.2024,"35.000,00","35.000,00","35.000,00","35.000,00","0,00",8,280.000,280.000
16.09.2024,"35.001,00","35.001,00","35.001,00","35.001,00","1,48",10,350.010,350.010
29.08.2024,"34.490,00","34.490,00","34.490,00","34.490,00","-0,03",33,1.138.170,1.138.170
14.05.2024,"34.500,00","34.500,00","34.500,00","34.500,00","1,44",5,172.500,172.500
13.05.2024,"34.011,00","34.011,00","34.011,00","34.011,00","-0,84",11,374.121,374.121
16.04.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",7,240.100,240.100
15.04.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",3,102.900,102.900
03.04.2024,"34.300,00","34.300,00","34.300,00","34.300,00","3,00",12,411.600,411.600
28.03.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",10,333.010,333.010
20.03.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",7,233.107,233.107
22.02.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",15,499.515,499.515
20.02.2024,"33.301,00","33.301,00","33.301,00","33.301,00","-0,30",100,3.330.100,3.330.100
16.02.2024,"33.400,00","33.400,00","33.400,00","33.400,00","0,00",100,3.340.000,3.340.000
15.02.2024,"33.401,00","33.401,00","33.401,00","33.401,00","-0,30",100,3.340.100,3.340.100
29.01.2024,"33.501,00","33.501,00","33.501,00","33.501,00","11,30",3,100.503,100.503
22.08.2023,"30.101,00","30.101,00","30.101,00","30.101,00","0,33",5,150.505,150.505
18.07.2023,"30.001,00","30.001,00","30.001,00","30.001,00","0,00",63,1.890.063,1.890.063
13.06.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",6,180.000,180.000
09.06.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",100,3.000.000,3.000.000
19.04.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",16,480.000,480.000
18.04.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",5,150.000,150.000
13.04.2023,"30.000,00","30.000,00","30.000,00","30.000,00","0,00",5,150.000,150.000
12.04.2023,"30.000,00","30.000,00","30.000,00","30.000,00","-6,25",5,150.000,150.000
14.03.2023,"32.000,00","32.000,00","32.000,00","32.000,00","0,00",7,224.000,224.000
17.02.2023,"32.000,00","32.000,00","32.000,00","32.000,00","0,00",36,1.152.000,1.152.000
29.12.2022,"32.000,00","32.000,00","32.000,00","32.000,00","0,01",85,2.720.000,2.720.000
26.12.2022,"31.997,00","31.997,00","31.997,00","31.997,00","-0,01",113,3.615.661,3.615.661
16.12.2022,"31.999,00","31.999,00","31.999,00","31.999,00","0,00",16,511.984,511.984
14.12.2022,"31.998,00","31.998,00","31.998,00","31.998,00","-1,54",16,511.968,511.968
21.11.2022,"32.499,00","32.499,00","32.499,00","32.499,00","-1,52",5,162.495,162.495
01.11.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,01",18,594.000,594.000
30.09.2022,"32.998,00","32.998,00","32.998,00","32.998,00","-0,01",16,527.968,527.968
28.09.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",29,957.000,957.000
16.09.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",9,297.000,297.000
29.08.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",6,198.000,198.000
25.08.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",7,231.000,231.000
06.06.2022,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",20,660.000,660.000
15.03.2022,"33.000,00","33.000,00","33.000,00","33.000,00","-10,81",60,1.980.000,1.980.000
27.01.2022,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",65,2.405.000,2.405.000
18.01.2022,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",35,1.295.000,4.995.000
13.01.2022,"37.000,00","37.000,00","37.000,00","37.000,00","0,03",3,111.000,111.000
22.12.2021,"36.990,00","36.990,00","36.990,00","36.990,00","-0,03",15,554.850,554.850
13.12.2021,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",8,296.000,296.000
11.11.2021,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",90,3.330.000,3.330.000
09.11.2021,"37.000,00","37.000,00","37.000,00","37.000,00","-2,37",170,6.290.000,6.290.000
01.11.2021,"37.897,00","37.897,00","37.897,00","37.897,00","0,00",24,909.528,909.528
14.09.2021,"37.898,00","37.898,00","37.898,00","37.898,00","9,85",4,151.592,151.592
14.07.2021,"34.501,00","34.501,00","34.501,00","34.501,00","0,00",2,69.002,69.002
14.06.2021,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",383,13.213.500,13.213.500
14.05.2021,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",35,1.207.500,1.207.500
07.05.2021,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",12,414.000,414.000
22.04.2021,"34.501,00","34.501,00","34.501,00","34.501,00","0,00",4,138.004,138.004
20.04.2021,"34.500,00","34.500,00","34.500,00","34.500,00","-0,03",3,103.500,103.500
16.04.2021,"34.510,00","34.510,00","34.510,00","34.510,00","0,00",5,172.550,172.550
15.04.2021,"34.510,00","34.510,00","34.510,00","34.510,00","-0,26",8,276.080,276.080
12.04.2021,"34.600,00","34.600,00","34.600,00","34.600,00","0,29",7,242.200,242.200
12.03.2021,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",3,103.500,103.500
11.02.2021,"34.500,00","34.500,00","34.500,00","34.500,00","0,29",5,172.500,172.500
04.02.2021,"34.400,00","34.400,00","34.400,00","34.400,00","0,00",4,137.600,137.600
03.02.2021,"34.399,00","34.399,00","34.399,00","34.399,00","4,24",5,171.995,171.995
17.12.2020,"33.000,00","33.000,00","33.000,00","33.000,00","0,00",5,165.000,165.000
16.12.2020,"33.000,00","33.000,00","33.000,00","33.000,00","1,71",5,165.000,165.000
16.09.2020,"32.445,00","32.445,00","32.445,00","32.445,00","0,00",12,389.340,389.340
07.09.2020,"32.445,00","32.445,00","32.445,00","32.445,00","0,00",44,1.427.580,1.427.580
01.09.2020,"32.445,00","32.445,00","32.445,00","32.445,00","0,00",353,11.453.085,11.453.085
20.08.2020,"32.445,00","32.445,00","32.445,00","32.445,00","0,00",10,324.450,324.450
17.07.2020,"32.445,00","32.445,00","32.445,00","32.445,00","3,00",418,13.562.010,13.562.010
23.06.2020,"31.500,00","31.500,00","31.500,00","31.500,00","1,61",7,220.500,220.500
28.05.2020,"31.000,00","31.000,00","31.000,00","31.000,00","3,33",4,124.000,124.000
18.05.2020,"30.000,00","30.000,00","30.000,00","30.000,00","-3,54",8,240.000,240.000
09.04.2020,"31.100,00","31.100,00","31.100,00","31.100,00","-9,86",13,404.300,404.300
07.04.2020,"34.500,00","34.500,00","34.500,00","34.500,00","-8,80",30,1.035.000,1.035.000
19.02.2020,"37.830,00","37.830,00","37.830,00","37.830,00","-3,00",9,340.470,340.470
03.02.2020,"39.000,00","39.000,00","39.000,00","39.000,00","-4,88",8,312.000,312.000
22.01.2020,"41.000,00","41.000,00","41.000,00","41.000,00","3,09",25,1.025.000,1.025.000
14.01.2020,"39.770,00","39.770,00","39.770,00","39.770,00","-3,00",2,79.540,79.540
13.01.2020,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",5,205.000,205.000
30.12.2019,"41.000,00","41.000,00","41.000,00","41.000,00","0,14",30,1.230.000,1.230.000
27.12.2019,"40.800,00","41.000,00","40.800,00","40.942,86","0,27",14,573.200,573.200
26.12.2019,"40.990,00","40.990,00","40.800,00","40.831,67","2,08",12,489.980,489.980
19.12.2019,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",11,440.000,440.000
18.12.2019,"40.000,00","40.000,00","40.000,00","40.000,00","2,56",10,400.000,400.000
17.12.2019,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",10,390.000,390.000
16.12.2019,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",15,585.000,585.000
03.12.2019,"39.000,00","39.000,00","39.000,00","39.000,00","-0,26",1,39.000,39.000
28.11.2019,"39.100,00","39.100,00","39.100,00","39.100,00","0,00",13,508.300,508.300
21.11.2019,"39.100,00","39.100,00","39.100,00","39.100,00","0,26",8,312.800,312.800
19.11.2019,"39.000,00","39.000,00","39.000,00","39.000,00","-1,20",4,156.000,156.000
18.11.2019,"39.474,00","39.474,00","39.474,00","39.474,00","-0,07",20,789.480,789.480
07.11.2019,"39.500,00","39.500,00","39.500,00","39.500,00","-0,25",5,197.500,197.500
16.10.2019,"39.599,00","39.599,00","39.599,00","39.599,00","0,00",48,1.900.752,1.900.752
10.10.2019,"39.600,00","39.600,00","39.600,00","39.600,00","0,00",17,673.200,673.200
08.10.2019,"39.600,00","39.600,00","39.600,00","39.600,00","0,24",10,396.000,396.000
07.10.2019,"39.505,00","39.505,00","39.505,00","39.505,00","0,01",3,118.515,118.515
01.10.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",9,355.500,355.500
27.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",124,4.898.000,4.898.000
26.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",75,2.962.500,2.962.500
25.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",59,2.330.500,2.330.500
24.09.2019,"39.501,00","39.501,00","39.501,00","39.501,00","0,00",20,790.020,790.020
19.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",10,395.000,395.000
05.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,00",6,237.000,237.000
04.09.2019,"39.500,00","39.500,00","39.500,00","39.500,00","0,55",3,118.500,118.500
30.08.2019,"39.285,00","39.285,00","39.285,00","39.285,00","-3,00",4,157.140,157.140
12.08.2019,"40.500,00","40.500,00","40.500,00","40.500,00","-2,41",2,81.000,81.000
09.08.2019,"41.499,00","41.499,00","41.499,00","41.499,00","0,96",40,1.659.960,1.659.960
